Frase,Sentimento
ele ficou desnorteado,Negativo
você foi egoísta,Negativo
ele sou valente,Positivo
homem cruel,Negativo
Ele foi honesto,Positivo
Ele está pronto,Positivo
homem pecador,Neutro
Ele somos bons,Positivo
ele faz se torna belo,Positivo
você vai ser bem mais feliz,Positivo
Ele é soberano,Positivo
você é único,Positivo
rei é muito forte,Positivo
você é profeta,Neutro
garoto franzinho,Negativo
Você chega eu fico louco,Negativo
você está blindado,Positivo
você fica mudo,Negativo
você tá dividido,Negativo
marido nobre,Positivo
menino né,Positivo
Ele foi eleito,Positivo
ele tá afim,Positivo
Menino é bom,Positivo
Você tem andado tão indiferente,Negativo
você fosse minhoca,Neutro
senhor partideiro,Neutro
eles diferente,Neutro
Garoto suburbano,Negativo
você tá hepático,Negativo
você estou sempre disposto,Positivo
senhor feudal,Neutro
menino zukuta,Neutro
homem mané,Negativo
você seria pobre,Negativo
homem novo,Neutro
rei foi genial,Positivo
homem temperamental,Negativo
homem estava abilolado,Negativo
Você é muito manjado,Negativo
homem fino,Positivo
Você está muito carente,Negativo
você tá triste,Negativo
senhor traição,Negativo
ele quieto,Negativo
você ficar tão diferente,Negativo
Ele é comprido,Neutro
homem é iludido,Negativo
você tá tão distante,Negativo
homem invisível,Negativo
ele é complicado,Negativo
homem culto,Negativo
você foi tão cruel,Negativo
namorado doido,Negativo
você fica quieto,Negativo
Menino apressadinho,Negativo
você é surpreendente,Positivo
Você é tão doce,Positivo
namorado está prá,Neutro
Você é tão envolvente,Positivo
Você está muito pegajoso,Negativo
você fica forte,Positivo
você fica mais bonito,Positivo
eles fui abençoado,Positivo
homens malucos,Negativo
ele é ligeiro,Positivo
homem tambem,Neutro
ELE PULA,Neutro
homens loucos,Negativo
meninos é chave,Neutro
marido é revoltado,Negativo
Ele é chifrudo,Negativo
Ele é gostoso,Positivo
ele fica dengoso,Negativo
você tá tão certo,Positivo
Você tá pirado,Negativo
você é falso,Negativo
homem barrigudo,Negativo
ele era mais forte,Negativo
menino mulherengo,Positivo
menino chique,Positivo
Ele é considerado,Positivo
ele é famoso,Positivo
você tá promovido,Positivo
ele for verdadeiro,Positivo
homem fuleiro,Negativo
homem barato,Negativo
Ele está sedento,Negativo
eles ficam maluquinho,Negativo
Eles estão descontrolados,Negativo
homem eterno,Neutro
você ficar comigo feliz,Positivo
ele era genial,Positivo
menino solitario,Negativo
menino nutella,Negativo
Ele é tão clarinho,Neutro
você fica doente,Negativo
você foi total,Neutro
ele tá todo perdido,Negativo
rei poderoso,Positivo
homem ser feliz,Positivo
você vai ser triste,Negativo
Você foi prum,Neutro
ele nengro,Neutro
você será boa,Positivo
Homens pobres,Negativo
marido velho,Negativo
homem foi criado,Negativo
homem antigo,Negativo
homem aflito,Negativo
homem amargo,Negativo
menino bobo,Negativo
homens incertos,Negativo
menino triste,Negativo
eles são engraçados,Positivo
você tá muito avançado,Positivo
Você fica inteiro,Neutro
você foi bem sucedido,Positivo
Ele é irônico,Negativo
menino fosse mais amado,Negativo
homens são sempre iguais,Negativo
você fique fera,Positivo
homem pleno,Positivo
menino bulindo,Negativo
homem são tão maior,Positivo
menino clandestino,Negativo
você estar comigo,Neutro
Você é tão inconveniente,Negativo
ele foi derrotado,Negativo
você é quase perfeito,Positivo
senhor tá ligado,Neutro
você estiver baixo,Negativo
você ficar esperto,Positivo
Você fica irritado,Negativo
voce é tao estranho,Negativo
você ficou maluca,Negativo
ele fica revolto,Negativo
menino prodígio,Positivo
ele ta muito ruim,Negativo
você sou frágil,Negativo
você sou mais feliz,Positivo
rapaz normal,Neutro
você estou amargurado,Negativo
garoto estudioso,Positivo
menino guarani,Neutro
homens estranhos,Negativo
você estiver livre,Positivo
Você é tão indiferente,Negativo
senhor ser pobre,Negativo
ele é campeão,Positivo
ele perfeito,Positivo
Ele forte,Positivo
homem abitar,Negativo
você ficou parado,Neutro
ele é sabido,Positivo
Você é ruim,Negativo
Você ficou indiferente,Neutro
eles sou criticado,Negativo
você tudo fica perfeito,Positivo
você é pior,Negativo
ele é bravo,Negativo
homem potro,Negativo
você for livre,Negativo
homem selvagem,Negativo
você seja forte,Negativo
ele era tão bom,Positivo
Ele foi outrora acendido,Positivo
Você tem estado tão diferente,Negativo
você era feliz,Positivo
João tá preso,Negativo
Você fica amarga,Negativo
homem tá feliz,Positivo
rapaz namorador,Positivo
Você tem dormido muito mau,Negativo
meninos maiores,Negativo
você ta feliz,Positivo
meninos pequeninos,Neutro
Ele é tão caro,Positivo
garoto esperto,Positivo
homem Safado,Negativo
ele amigo,Neutro
marido fulêro,Negativo
homem ta apaixonado,Positivo
homem é insistente,Positivo
você ficar legal,Positivo
Ele é muito quente,Neutro
João é alegre,Positivo
homem é tão sublime,Positivo
ele é muito bom,Positivo
ele foi apunhalado,Negativo
menino cego,Negativo
menino perus,Neutro
você ser artista,Neutro
homem paquerador,Positivo
menino contente,Positivo
Eles são discretos,Positivo
menino chorão,Negativo
menino calma,Positivo
Você era dócil,Positivo
você tá ficando acabado,Negativo
você fica assim tão diferente,Neutro
você esteja mais feliz,Positivo
Ele é fodão,Positivo
homem foguete,Neutro
homem simpático,Positivo
Ele vai confiante,Positivo
homem seria respeitado,Positivo
voce é triste,Positivo
homens ilustres,Positivo
você está boa,Positivo
você é grande,Positivo
você é orgulhoso,Positivo
ele é vacilão,Positivo
homem é mulher,Neutro
Você tá tão ausente,Negativo
homem carinhoso,Positivo
Ele é leão,Neutro
Você ficou bolado,Negativo
menino passarinho,Neutro
Ele é tão palpitoso,Negativo
homem é sonhador,Positivo
menino guerreiro,Positivo
homem menino,Neutro
Você tá sempre cansado,Negativo
Você tá pior,Negativo
você tá ficando louco,Negativo
você tá convidado,Neutro
rei bonito,Positivo
menino chato,Negativo
ele era querido,Positivo
você é bipolar,Negativo
ele torto,Negativo
ele é ritmista,Neutro
Ele tá apaixonado,Positivo
Você tá tá muito louco,Negativo
Você ficou zangado,Negativo
ele é culpado,Negativo
você fosse calmante,Neutro
você seria tão feliz,Positivo
você foi tão bom,Positivo
Você é precioso,Positivo
Você é assim tão desigual,Neutro
Ele é protegido,Positivo
cavalheiro sonhador,Positivo
ele estava indecente,Negativo
você estou apaixonado,Positivo
Ele é apaixonado,Positivo
você foi diferente,Neutro
senhor cego,Neutro
você tudo fica mais tranqüilo,Positivo
você foi tão radical,Positivo
você tá meio,Neutro
Você tem andado tão distante,Negativo
você tá cego,Neutro
joão orginal,Neutro
menino ta docinho,Positivo
ele rico,Positivo
marido mano,Neutro
namorado é meuuuuuuuuu,Neutro
marido sou absoluta,Positivo
homens presentes,Positivo
ele ficou contigo,Neutro
ele estava comigo,Neutro
menino moderno,Neutro
meninos ficou rico,Positivo
Garoto insano,Negativo
garoto saliente,Negativo
garotos salientes,Negativo
garoto maroto,Positivo
Você é cheio,Neutro
ele vai ficando bem mais difícil,Neutro
ele é mais forte,Positivo
Ele tá pronto,Positivo
Menino liso,Neutro
homem tá doido,Negativo
ele fica todo azul,Neutro
garoto diferente,Neutro
Garoto digerente,Neutro
você foi incrível,Positivo
ele é cruel,Negativo
ele estará contigo,Neutro
garoto pacato,Positivo
Eles estão guardados,Positivo
João é colombiano,Neutro
ele é procurado,Negativo
homens maluco,Negativo
ele tá ausente,Negativo
Eles ficam atacados,Negativo
ele estava vivo,Positivo
ele ser preto,Neutro
rapaz latino-americano,Neutro
rapazes latino-americanos,Neutro
homem jovem,Positivo
homem cordial,Positivo
rei é mais bonito,Positivo
Rapazes maus,Negativo
Menino levante,Neutro
rapaz gostoso,Positivo
eles eram americanos,Neutro
menino extraordinário,Positivo
Você é antigo,Neutro
homens édios,Positivo
ele é tão grande,Positivo
menino verde-amarelo,Neutro
ele sente é sagrado,Positivo
eles são tão cegos,Neutro
você será diferente,Neutro
homem é sozinho,Negativo
você estiver totalmente sozinho,Negativo
você fica mais amável,Positivo
você tudo fica mais bonito,Positivo
Você é granfina,Positivo
você for esperto,Positivo
menino inconseqüente,Negativo
você estivesse seria melhor,Neutro
menino frágil,Negativo
você estiver carente,Negativo
marido apresentável,Positivo
Você fica aflito,Negativo
voce estava fragil,Negativo
Ele tá descontrolada,Negativo
você era completo,Neutro
Você está vivo,Positivo
marido fuleiro,Negativo
Você é muito traiçoeiro,Negativo
Ele era vagabundo,Negativo
Ele é muito legal,Positivo
Você tá tão triste,Negativo
voce fica leve,Positivo
ele é bem fofinho,Positivo
você é tão bom,Positivo
Garoto livre,Positivo
menino meia,Neutro
Menino fui meio,Neutro
Menino tambem,Neutro
Ele ficou apaixonado,Positivo
menino amarelo,Neutro
Menino sexy,Negativo
Menino lindo,Positivo
Ele está convencido,Positivo
homem vulgar,Negativo
rei leão,Neutro
menino louco,Negativo
garoto raparigueiro,Negativo
homem machão,Negativo
homens ficaram bravo,Negativo
homens ficaram espertos,Positivo
ele é muito fácil,Neutro
garoto é metido,Negativo
Ele tá melado,Negativo
você ia pagar caro,Neutro
Ele é viado,Neutro
Ele é baitola,Neutro
Ele é briguento,Negativo
Ele pode ser briguento,Negativo
ele ta vivo,Positivo
homem brasileiro,Neutro
Você é tão bonzinho,Positivo
homem é espetacular,Positivo
joão tá bom,Neutro
menino barrigudo,Negativo
Ele é direito,Positivo
homem ta zangado,Negativo
homem ta doente,Negativo
homem ta danado,Negativo
homem tá gostoso,Positivo
João é animado,Positivo
João passado,Neutro
homem batalhador,Positivo
ele era valente,Positivo
você é presente,Positivo
você é verdadeiro,Positivo
rapaz respeitador,Positivo
ele arrecuado,Negativo
homem é civilizado,Positivo
você fica pior,Neutro
joão é bom,Positivo
senhor vai hein,Neutro
homem é casado,Neutro
Você é muito engraçado,Positivo
menino santo,Positivo
Ele é cheio,Neutro
ele é servidorzinho,Positivo
você fosse diferente,Neutro
senhor capelão,Neutro
você é néctar,Neutro
Você é muito descarado,Negativo
marido exemplar,Positivo
Você é muito mentiroso,Negativo
Ele é movido,Neutro
você ta desiludido,Negativo
homem bicho,Negativo
homem meio,Neutro
Ele é bicho,Neutro
Ele é lobisomem,Neutro
você é quente,Neutro
você é difícil,Negativo
você fosse fácil,Neutro
você vou falar sério,Neutro
João matuto,Negativo
João é infeliz,Negativo
homem é cachorro,Negativo
Você é vesgo,Neutro
Ele é tal igual,Neutro
Menino magro,Neutro
Você é famoso,Positivo
você tá onde,Neutro
Ele é peludo,Negativo
Você é tão grande,Positivo
João ficou zangado,Negativo
Ele ficou quietinho,Negativo
ele é tão bonitinho,Positivo
ele é tão feio,Negativo
ele é muito lindo,Positivo
Ele era tão glorioso,Positivo
homem semelhante,Neutro
ele tá vivo,Neutro
voce é jovem,Neutro
voce é tão jovem,Neutro
ele é mais espaçoso,Negativo
ele fica bem feliz,Positivo
você é mesmo inteligente,Positivo
ele hein,Neutro
Ele é encantador,Positivo
homens perigosos,Negativo
Ele é verde-amarelo,Neutro
você tá concluido,Neutro
Você está perdido,Negativo
você ficou plantado,Negativo
eles estão errados,Negativo
você fica bom,Neutro
MENINO ABUSADO,Negativo
eles são fatais,Negativo
Ele é alto,Neutro
menino livre,Neutro
rei floresta,Neutro
homem aceso,Positivo
ele fica envergonhado,Negativo
Ele está cansado,Negativo
você vou bancar palhaço,Negativo
homem civilizado,Neutro
ele escravo,Neutro
eles branco,Neutro
Menino velho,Neutro
Ele é danado,Negativo
ele foi escravo,Neutro
Ele era muito esperto,Positivo
Você é sensacional,Positivo
ele é bem veloz,Positivo
ele fica nervoso,Negativo
ele surgi é bom,Positivo
ele decidia ir sozinho,Neutro
você é bem rápido,Neutro
Ele era naturalista,Neutro
ele estava sozinho,Neutro
ele estava envenenado,Negativo
senhor caracol,Neutro
Você tá frito,Negativo
Ele é vigia,Neutro
Ele é enorme,Positivo
ele é semi aquático,Neutro
você ficar bem mais esperto,Positivo
ele é fanfarrão,Negativo
você vai ser muito feliz,Positivo
menino é iluminado,Positivo
ele estava apaixonado,Positivo
ele é proibido,Negativo
ele é muto feliz,Positivo
Ele é pretinho,Neutro
ele tá inspirado,Positivo
senhor porco-espinho,Neutro
ele é bonitinho,Positivo
ele é tão fofinho,Positivo
Ele é todo azul,Neutro
ele está apaixonado,Positivo
ele é normal,Positivo
você é muito trapalhão,Negativo
Você é estranho,Negativo
Ele é tão engraçado,Positivo
Ele é muito corajoso,Positivo
você ser também barrigudo,Negativo
você estava tão presente,Positivo
ele é humilde,Positivo
homem rebelde,Negativo
homem legal,Positivo
Senhor soberano,Neutro
Senhor forte,Positivo
Senhor valente,Positivo
homens bonitos,Positivo
você é mais chegado,Neutro
Senhor digno,Positivo
Ele foi transpassado,Negativo
rei é exaltado,Positivo
Ele quer estar contigo,Neutro
garoto bom,Positivo
você vai ser muito mais legal,Positivo
Você é tão frágil,Negativo
eles são diferentes,Neutro
Ele é lunático,Negativo
ele era forte,Positivo
Ele é carinhoso,Positivo
Homens orgulhosos,Positivo
Ele é fofinho,Positivo
Ele é sortudo,Positivo
Ele é teimoso,Negativo
Ele é levado,Negativo
Ele era casado,Neutro
Ele é muito excitante,Positivo
Ele estou liberto,Positivo
Ele é imperador,Positivo
ele é fenomenal,Positivo
homem impressionante,Positivo
ele é tão musculoso,Positivo
Ele foi bom,Positivo
Você tá muito enganado,Negativo
Rei é bom,Positivo
você ta muito enganado,Negativo
Você está muito desligado,Negativo
você é chatinho,Negativo
você tá muito nervozinho,Negativo
você é mais novo,Negativo
Ele é escuro,Neutro
ele seja bonito,Positivo
Ele é chocantemente incrível,Positivo
Ele é chocrível,Positivo
Ele é incrível,Positivo
Você ficou contente,Positivo
Garoto lindo,Positivo
ele é azul,Neutro
Eles podem ser feios,Negativo
eles felizes,Positivo
Você ficaria muito triste,Negativo
ele estava tristonho,Negativo
você tá tão feliz,Positivo
você ficou mal amado,Negativo
ele é medicinal,Neutro
Ele é esperto,Positivo
você seja sambista,Neutro
homens guerreiros,Positivo
homem bombado,Positivo
você ta afim,Neutro
ele é açamba,Neutro
garoto especial,Positivo
ele abençõou,Positivo
ele é patrocinado,Positivo
Você é todo enrolado,Negativo
Você é inteligente,Positivo
Menino segura,Neutro
ele vovó,Neutro
ele é cadeado,Neutro
ele for condenado,Negativo
homem é perfeito,Positivo
ele nu,Neutro
ele foi doloroso,Negativo
ele é grampeado,Negativo
Ele foi carpinteiro,Neutro
você foi muito melhor,Positivo
Rei nato,Positivo
você é bem feliz,Positivo
você fique esperto,Positivo
homem é inocente,Positivo
ele era chamado,Neutro
homens é cega,Positivo
rapaz boa,Positivo
namorado era tão legal,Positivo
você fica tão triste,Negativo
você é tão vazio,Negativo
você é top,Positivo
Ele é igual,Neutro
rei sambar,Neutro
você vai ficar bitolado,Negativo
você é competente,Positivo
você é todo competente,Positivo
você foi tão normal,Positivo
você tá distante,Neutro
você estiver afim,Neutro
ele for eleito,Positivo
você tava preso,Negativo
João antiga,Neutro
ele é verdadeiro,Positivo
Ele fica todo invocado,Positivo
você é descendente,Neutro
Você tá feita,Neutro
Ele é brabo,Negativo
ele ramelão,Negativo
homem chileno,Neutro
menino puro,Positivo
homem rompeste,Neutro
menino pescador,Neutro
eles que ficam tontos,Negativo
senhor marajá,Neutro
ele é foda,Positivo
homem é prostituto,Negativo
você é raro,Positivo
namorado é maior,Positivo
Você tá doidão,Negativo
meninos são treinado,Positivo
homens úteis,Positivo
homens públicos,Neutro
homem molesta,Neutro
meninos velhos,Neutro
homens perplexos,Negativo
menino pequeno,Neutro
ele é suficiente,Positivo
menino adolescente,Neutro
homens vazios,Negativo
Eles são maduros,Positivo
você está demitido,Negativo
menino é foda,Positivo
ele é muito engraçado,Positivo
ele é vagabundo,Negativo
ele foi grosso,Negativo
ele está faminto,Negativo
ele é preto,Neutro
homens inteligentes,Positivo
você fica triste,Negativo
Você é mais quente,Neutro
homem mulher,Neutro
você ficar feliz,Positivo
ele for honesto,Positivo
ele é tão maravilhoso,Positivo
você estará comigo,Neutro
ele sou feliz,Positivo
você vai difícil,Negativo
você é tão lindo,Positivo
ele é flamengo,Neutro
Ele é desconhecido,Negativo
Você vai achar estranho,Negativo
Você tem andado triste,Negativo
menino normal,Neutro
reis antideluvianos,Neutro
ele é bobo,Negativo
rapaz rico,Positivo
ele era normal,Neutro
ele seja bem melhor,Positivo
você fosse tão ruim,Negativo
Ele é tenaz,Positivo
homens bons,Positivo
você somos iguais,Positivo
você é marrento,Negativo
você ficou vazio,Negativo
você vai pedir agasalho,Neutro
menino suburbano,Positivo
homem ateu,Neutro
Ele era competente,Positivo
ele era delinquente,Negativo
ele foi criado,Neutro
senhor foi eleito,Neutro
menino boiadeiro,Neutro
homem completo,Neutro
cavalheiro espanhol,Neutro
ele foi feito,Neutro
ele foi sepultado,Negativo
garoto estava presente,Positivo
ele foi culpado,Negativo
ele foi culpado inocente,Negativo
ele foi abandonado,Negativo
Ele foi atropelado,Negativo
homem criminoso,Negativo
Ele alegre,Positivo
Ele foi bem dedicado,Positivo
ele vaga,Negativo
ELE ESTÁ SOLITÁRIO NA,Negativo
homem está perdido,Negativo
Rapaz casado,Neutro
ele fica impertinente,Negativo
homem passional,Negativo
homem bestial,Negativo
homens grandes,Neutro
homem é cruel,Negativo
eles divina,Neutro
eles jantarás,Neutro
Rapaz bonitinho,Positivo
ele tá cheio,Neutro
rapaz bem-educado,Positivo
ele está solitário,Negativo
você tá assustado,Negativo
ele é valentão,Positivo
Ele é tão adiantado,Neutro
Ele bonitinho,Positivo
você é felizardo,Positivo
João doceiro,Neutro
Você estava sentado,Neutro
ele é cheiroso,Positivo
homem loiro,Neutro
menino bagunceiro,Negativo
menino bicho,Negativo
ele era rapaz,Neutro
Você foi muito ruim,Negativo
ele é descartável,Negativo
Ele é bem redondinho,Negativo
Ele é pernambucano,Neutro
ele é nacional,Neutro
você sou passado,Neutro
cavalheiro bom,Positivo
Ele é mesmo protegido,Positivo
Ele é mocho,Negativo
Você é mesmo especial,Positivo
João maior,Neutro
você estou seguro,Positivo
Ele é muito maravilhoso,Positivo
você vai ser igual,Neutro
Ele é verde,Neutro
